investor_id,age_group,gender,state,city_tier,sip_amount
1,26-35,Male,Maharashtra,T30,2000
2,55+,Female,Delhi,T30,2000
3,18-25,Female,Rajasthan,B30,5000
4,26-35,Male,West Bengal,T30,5000
5,36-45,Female,Punjab,T30,10000
6,26-35,Female,Tamil Nadu,T30,10000
7,36-45,Female,Tamil Nadu,T30,5000
8,26-35,Male,Maharashtra,T30,1000
9,46-55,Male,Tamil Nadu,T30,2000
10,36-45,Male,Tamil Nadu,T30,2000
11,18-25,Male,Delhi,T30,500
12,26-35,Female,Maharashtra,T30,5000
13,26-35,Female,Delhi,T30,25000
14,46-55,Male,Maharashtra,T30,5000
15,36-45,Female,Karnataka,T30,5000
16,36-45,Male,Tamil Nadu,T30,5000
17,26-35,Male,Tamil Nadu,T30,10000
18,36-45,Male,Tamil Nadu,T30,1000
19,18-25,Male,West Bengal,T30,2000
20,18-25,Male,Delhi,T30,5000
21,26-35,Male,Gujarat,T30,2000
22,36-45,Female,Tamil Nadu,T30,5000
23,36-45,Male,Karnataka,T30,2000
24,26-35,Male,West Bengal,T30,2000
25,46-55,Female,Karnataka,T30,1000
26,26-35,Male,Tamil Nadu,B30,2000
27,36-45,Female,Maharashtra,T30,2000
28,55+,Male,Rajasthan,T30,2000
29,36-45,Male,Karnataka,T30,500
30,46-55,Male,Karnataka,B30,5000
31,26-35,Male,Karnataka,T30,2000
32,18-25,Female,Tamil Nadu,B30,5000
33,46-55,Male,Maharashtra,T30,1000
34,55+,Male,Karnataka,B30,10000
35,26-35,Male,West Bengal,T30,10000
36,36-45,Male,Telangana,T30,2000
37,26-35,Male,Rajasthan,T30,500
38,55+,Male,Telangana,B30,2000
39,46-55,Male,Gujarat,T30,2000
40,18-25,Male,West Bengal,B30,2000
41,36-45,Male,Karnataka,T30,10000
42,36-45,Male,Maharashtra,T30,10000
43,18-25,Female,Delhi,B30,2000
44,26-35,Female,Delhi,T30,2000
45,18-25,Female,Karnataka,T30,1000
46,46-55,Male,Tamil Nadu,B30,2000
47,18-25,Female,Tamil Nadu,T30,1000
48,46-55,Male,Karnataka,B30,1000
49,55+,Female,Delhi,T30,5000
50,18-25,Female,Maharashtra,B30,2000
51,36-45,Female,Punjab,T30,2000
52,36-45,Male,Telangana,B30,1000
53,55+,Male,Maharashtra,T30,1000
54,46-55,Male,Tamil Nadu,T30,2000
55,36-45,Male,Delhi,B30,500
56,55+,Male,Maharashtra,B30,1000
57,26-35,Male,West Bengal,T30,5000
58,26-35,Female,Gujarat,T30,2000
59,46-55,Female,Karnataka,B30,25000
60,18-25,Male,Maharashtra,T30,500
61,55+,Female,Karnataka,T30,10000
62,36-45,Female,Tamil Nadu,T30,5000
63,26-35,Male,UP,T30,2000
64,26-35,Male,West Bengal,T30,5000
65,18-25,Female,Gujarat,T30,2000
66,18-25,Male,Delhi,T30,500
67,26-35,Female,Gujarat,T30,10000
68,46-55,Male,Karnataka,T30,10000
69,36-45,Female,Rajasthan,T30,2000
70,26-35,Male,Delhi,T30,1000
71,26-35,Male,Karnataka,T30,5000
72,26-35,Female,Delhi,T30,2000
73,55+,Male,Delhi,T30,1000
74,18-25,Female,Rajasthan,T30,25000
75,26-35,Female,West Bengal,T30,1000
76,36-45,Female,Gujarat,T30,1000
77,36-45,Female,Maharashtra,T30,2000
78,26-35,Male,Gujarat,T30,1000
79,55+,Female,Karnataka,B30,2000
80,36-45,Male,Karnataka,T30,1000
81,26-35,Male,Karnataka,T30,5000
82,46-55,Male,Rajasthan,T30,1000
83,26-35,Male,Maharashtra,B30,5000
84,26-35,Male,Rajasthan,B30,5000
