transaction_id,amfi_code,date,transaction_type,amount,kyc_status,state
1,125497,2020-01-01,Redemption,10049.58,pending,Karnataka
2,120841,2020-01-01,Redemption,39863.94,verified,Karnataka
3,120503,2020-01-01,Lumpsum,51720.25,pending,Tamil Nadu
4,119551,2020-01-01,Redemption,82775.88,verified,Karnataka
5,125497,2020-01-01,Redemption,8072.06,pending,Delhi
6,120841,2020-01-01,Sip,35175.29,verified,Tamil Nadu
7,118632,2020-01-01,Sip,82354.28,pending,Delhi
8,120841,2020-01-01,Lumpsum,65018.18,verified,Maharashtra
9,118632,2020-01-01,Redemption,29350.85,verified,West Bengal
10,125497,2020-01-01,Lumpsum,84610.84,pending,Maharashtra
11,120841,2020-01-01,Redemption,49582.71,pending,Delhi
12,120503,2020-01-01,Redemption,50086.01,pending,Karnataka
13,120841,2020-01-01,Redemption,97670.44,pending,West Bengal
14,125497,2020-01-01,Redemption,94738.09,pending,Karnataka
15,119551,2020-01-01,Lumpsum,36174.0,pending,Karnataka
16,119551,2020-01-01,Sip,14487.62,pending,West Bengal
17,120841,2020-01-01,Redemption,32903.84,pending,West Bengal
18,120841,2020-01-01,Sip,3533.08,verified,Maharashtra
19,118632,2020-01-01,Sip,2566.4,verified,Delhi
20,125497,2020-01-01,Lumpsum,39854.45,verified,Karnataka
21,118632,2020-01-01,Lumpsum,94131.47,verified,Delhi
22,120503,2020-01-01,Sip,87200.06,pending,Delhi
23,119551,2020-01-01,Redemption,51388.56,verified,Tamil Nadu
24,119092,2020-01-01,Sip,56740.02,verified,Maharashtra
25,119092,2020-01-02,Sip,1090.38,pending,Karnataka
26,125497,2020-01-02,Redemption,21942.37,verified,West Bengal
27,125497,2020-01-02,Sip,2965.03,pending,West Bengal
28,119092,2020-01-02,Sip,75576.68,verified,Delhi
29,125497,2020-01-02,Redemption,14991.76,verified,Maharashtra
30,119551,2020-01-02,Sip,86970.19,pending,Maharashtra
31,120503,2020-01-02,Sip,64510.77,pending,Karnataka
32,120503,2020-01-02,Sip,23327.16,verified,Karnataka
33,118632,2020-01-02,Redemption,16193.17,verified,Delhi
34,119551,2020-01-02,Redemption,62948.66,verified,Delhi
35,125497,2020-01-02,Sip,90133.28,pending,Delhi
36,125497,2020-01-02,Redemption,71976.84,pending,Tamil Nadu
37,118632,2020-01-02,Redemption,35180.39,pending,Maharashtra
38,118632,2020-01-02,Redemption,58944.67,pending,Delhi
39,125497,2020-01-02,Lumpsum,31420.79,pending,Maharashtra
40,125497,2020-01-02,Lumpsum,99915.38,pending,West Bengal
41,119551,2020-01-02,Redemption,75009.5,verified,West Bengal
42,118632,2020-01-02,Sip,61630.97,pending,Maharashtra
43,119551,2020-01-02,Redemption,42614.28,pending,West Bengal
44,120841,2020-01-02,Lumpsum,62006.15,verified,West Bengal
45,125497,2020-01-02,Redemption,34490.8,verified,West Bengal
46,119092,2020-01-02,Lumpsum,3372.05,pending,Karnataka
47,119092,2020-01-02,Redemption,39811.31,pending,Karnataka
48,120841,2020-01-02,Redemption,93082.84,pending,Maharashtra
49,125497,2020-01-03,Lumpsum,62816.96,pending,Maharashtra
50,118632,2020-01-03,Redemption,8853.59,verified,Tamil Nadu
51,119092,2020-01-03,Redemption,88556.86,verified,Karnataka
52,118632,2020-01-03,Lumpsum,27253.05,verified,Maharashtra
53,119092,2020-01-03,Sip,24755.06,pending,Karnataka
54,118632,2020-01-03,Redemption,30060.55,verified,Tamil Nadu
55,119092,2020-01-03,Sip,57931.62,pending,Maharashtra
56,118632,2020-01-03,Lumpsum,54696.47,verified,Maharashtra
57,120841,2020-01-03,Sip,49395.67,pending,Maharashtra
58,119551,2020-01-03,Sip,71894.92,pending,Maharashtra
59,118632,2020-01-03,Sip,31995.5,verified,Delhi
60,119551,2020-01-03,Redemption,78315.42,verified,Karnataka
61,119551,2020-01-03,Sip,17944.51,pending,Karnataka
62,125497,2020-01-03,Sip,78370.77,verified,Karnataka
63,120841,2020-01-03,Sip,66549.11,pending,Tamil Nadu
64,119551,2020-01-03,Sip,68479.23,pending,Delhi
65,120503,2020-01-03,Lumpsum,48414.56,verified,Karnataka
66,119551,2020-01-03,Sip,66866.65,verified,Karnataka
67,118632,2020-01-03,Sip,8439.81,pending,Maharashtra
68,119551,2020-01-03,Redemption,85229.34,pending,Maharashtra
69,118632,2020-01-03,Sip,6026.95,pending,Maharashtra
70,118632,2020-01-03,Lumpsum,15299.78,pending,Karnataka
71,120503,2020-01-03,Sip,57890.58,pending,Maharashtra
72,119551,2020-01-03,Lumpsum,74071.44,pending,Karnataka
73,119551,2020-01-04,Redemption,8087.03,verified,Tamil Nadu
74,119092,2020-01-04,Lumpsum,92116.1,verified,Tamil Nadu
75,119092,2020-01-04,Lumpsum,97373.96,verified,West Bengal
76,125497,2020-01-04,Sip,60792.04,pending,Delhi
77,118632,2020-01-04,Lumpsum,48383.72,pending,Maharashtra
78,120503,2020-01-04,Sip,74268.8,verified,Maharashtra
79,119092,2020-01-04,Redemption,33171.56,verified,Delhi
80,119551,2020-01-04,Redemption,49579.81,verified,Delhi
81,125497,2020-01-04,Lumpsum,91657.03,pending,West Bengal
82,120503,2020-01-04,Sip,95587.71,pending,Delhi
83,120841,2020-01-04,Sip,92743.38,pending,Karnataka
84,119551,2020-01-04,Sip,26613.58,verified,Maharashtra
85,119551,2020-01-04,Redemption,23630.67,verified,Delhi
86,120841,2020-01-04,Redemption,30117.62,verified,Karnataka
87,118632,2020-01-04,Sip,44410.46,pending,Delhi
88,118632,2020-01-04,Redemption,31759.66,verified,Karnataka
89,119092,2020-01-04,Redemption,37734.17,verified,Tamil Nadu
90,119092,2020-01-04,Sip,62253.38,pending,Karnataka
91,119551,2020-01-04,Sip,76371.3,pending,West Bengal
92,119551,2020-01-04,Redemption,73688.04,verified,Karnataka
93,119092,2020-01-04,Redemption,81535.14,pending,Delhi
94,120841,2020-01-04,Sip,3702.35,verified,Tamil Nadu
95,119092,2020-01-04,Lumpsum,5249.51,pending,Tamil Nadu
96,119551,2020-01-04,Sip,79043.6,pending,Karnataka
97,120503,2020-01-05,Redemption,53541.34,pending,Delhi
98,119551,2020-01-05,Sip,58025.0,pending,Tamil Nadu
99,120503,2020-01-05,Sip,5732.39,pending,Karnataka
100,120503,2020-01-05,Lumpsum,25903.72,pending,Karnataka
101,119551,2020-01-05,Sip,64016.25,verified,Karnataka
102,125497,2020-01-05,Lumpsum,85988.6,verified,Tamil Nadu
103,119092,2020-01-05,Redemption,91739.85,verified,Maharashtra
104,118632,2020-01-05,Lumpsum,50291.74,pending,Delhi
105,119551,2020-01-05,Sip,54774.69,pending,West Bengal
106,120503,2020-01-05,Sip,83388.44,verified,West Bengal
107,119551,2020-01-05,Lumpsum,53993.65,verified,Delhi
108,119092,2020-01-05,Sip,51927.42,verified,Maharashtra
109,120841,2020-01-05,Redemption,90555.86,pending,Delhi
110,120503,2020-01-05,Redemption,79098.31,verified,Karnataka
