amfi_code,scheme_name,fund_house,category,date,nav
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-03,123.3152
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-04,123.8241
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-05,124.2759
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-06,125.8202
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-07,124.9809
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-10,124.2307
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-11,123.4162
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-12,122.0847
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-13,118.2939
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-14,119.6784
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-17,120.8869
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-18,118.7125
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-19,118.1384
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-20,117.1213
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-21,116.168
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-24,113.2201
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-25,112.3989
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-26,113.2388
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-27,116.7508
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-28,117.3381
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-01-31,117.5454
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-01,116.8536
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-02,116.047
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-03,117.4012
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-04,117.8464
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-07,116.983
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-08,115.584
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-09,115.3943
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-10,114.69
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-11,114.7168
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-14,114.4353
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-15,115.0043
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-16,113.2929
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-17,114.8115
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-18,118.6737
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-21,120.4091
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-22,120.7612
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-23,122.0752
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-24,120.6336
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-25,118.3778
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-02-28,119.5124
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-01,118.7765
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-02,116.8927
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-03,115.6925
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-04,114.1577
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-07,114.3761
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-08,115.2094
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-09,116.4712
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-10,117.7562
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-11,118.8583
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-14,118.5985
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-15,117.7468
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-16,115.6511
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-17,117.2119
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-18,116.9971
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-21,116.4561
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-22,118.1396
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-23,116.9017
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-24,118.1078
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-25,118.5636
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-28,117.1226
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-29,117.0512
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-30,118.4529
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-03-31,119.6193
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-04-01,121.8018
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-04-04,122.3326
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-04-05,127.3198
125497,HDFC Top 100 Direct,HDFC AMC,Large Cap,2022-04-06,125.9518
