amfi_code,date,nav
118632,2020-01-01,99.9382
118632,2020-01-02,99.8808
118632,2020-01-03,100.4584
118632,2020-01-06,101.4425
118632,2020-01-07,101.4126
118632,2020-01-08,103.3248
118632,2020-01-09,103.5875
118632,2020-01-10,103.2597
118632,2020-01-13,101.6266
118632,2020-01-14,101.3901
118632,2020-01-15,101.0795
118632,2020-01-16,102.0805
118632,2020-01-17,102.5832
118632,2020-01-20,101.4041
118632,2020-01-21,101.6092
118632,2020-01-22,102.322
118632,2020-01-23,103.9163
118632,2020-01-24,104.8697
118632,2020-01-27,105.6991
118632,2020-01-28,105.7943
118632,2020-01-29,106.2368
118632,2020-01-30,107.5961
118632,2020-01-31,106.1944
118632,2020-02-03,105.8552
118632,2020-02-04,105.0691
118632,2020-02-05,105.499
118632,2020-02-06,106.8285
118632,2020-02-07,106.2228
118632,2020-02-10,103.7157
118632,2020-02-11,103.3192
118632,2020-02-12,104.294
118632,2020-02-13,104.886
118632,2020-02-14,105.3666
118632,2020-02-17,105.1032
118632,2020-02-18,103.7904
118632,2020-02-19,104.3564
118632,2020-02-20,103.5171
118632,2020-02-21,105.809
118632,2020-02-24,106.4444
118632,2020-02-25,105.8583
118632,2020-02-26,105.2428
118632,2020-02-27,105.1766
118632,2020-02-28,104.9563
118632,2020-03-02,106.1599
118632,2020-03-03,106.3897
118632,2020-03-04,105.6432
118632,2020-03-05,107.672
118632,2020-03-06,107.7574
118632,2020-03-09,108.6182
118632,2020-03-10,107.9902
118632,2020-03-11,108.4147
118632,2020-03-12,108.7845
118632,2020-03-13,106.7615
118632,2020-03-16,108.9451
118632,2020-03-17,110.3838
118632,2020-03-18,109.9785
118632,2020-03-19,108.7993
118632,2020-03-20,109.21
118632,2020-03-23,109.3375
118632,2020-03-24,109.7592
118632,2020-03-25,110.0024
118632,2020-03-26,110.5922
118632,2020-03-27,112.226
118632,2020-03-30,112.8973
118632,2020-03-31,111.7461
118632,2020-04-01,113.3022
118632,2020-04-02,115.1951
118632,2020-04-03,118.8606
118632,2020-04-06,117.5609
118632,2020-04-07,117.8817
118632,2020-04-08,115.4627
118632,2020-04-09,116.136
118632,2020-04-10,115.5342
118632,2020-04-13,117.7911
118632,2020-04-14,116.914
118632,2020-04-15,114.9742
118632,2020-04-16,114.4668
118632,2020-04-17,112.2399
118632,2020-04-20,113.1166
118632,2020-04-21,110.8146
118632,2020-04-22,110.8793
118632,2020-04-23,108.6087
118632,2020-04-24,108.2935
118632,2020-04-27,110.1056
118632,2020-04-28,110.5357
118632,2020-04-29,109.6144
118632,2020-04-30,109.6131
118632,2020-05-01,109.6657
118632,2020-05-04,110.217
118632,2020-05-05,108.7435
118632,2020-05-06,109.4205
118632,2020-05-07,106.4942
118632,2020-05-08,105.8553
118632,2020-05-11,105.3702
118632,2020-05-12,106.0692
118632,2020-05-13,106.125
118632,2020-05-14,104.6652
118632,2020-05-15,103.6656
118632,2020-05-18,103.9027
118632,2020-05-19,103.8517
118632,2020-05-20,103.2815
118632,2020-05-21,102.8158
118632,2020-05-22,103.5624
118632,2020-05-25,103.0574
118632,2020-05-26,102.9975
118632,2020-05-27,105.2634
118632,2020-05-28,103.7963
118632,2020-05-29,101.9053
118632,2020-06-01,102.7344
118632,2020-06-02,102.0681
118632,2020-06-03,101.7739
118632,2020-06-04,101.0094
118632,2020-06-05,100.7773
118632,2020-06-08,102.4184
118632,2020-06-09,103.2707
118632,2020-06-10,104.1921
