transaction_id,amfi_code,date,transaction_type,amount,kyc_status,state
1,125497,01-01-2020,Redemption,10049.58,PENDING,Karnataka
2,120841,01-01-2020,redemption,39863.94,VERIFIED,Karnataka
3,120503,01-01-2020,Lumpsum,51720.25,pending,Tamil Nadu
4,119551,01-01-2020,Redemption,82775.88,verified,Karnataka
5,125497,01-01-2020,Redemption,8072.06,PENDING,Delhi
6,120841,01-01-2020,SIP,35175.29,verified,Tamil Nadu
7,118632,01-01-2020,sip,82354.28,pending,Delhi
8,120841,01-01-2020,lumpsum,65018.18,verified,Maharashtra
9,118632,01-01-2020,Redemption,29350.85,VERIFIED,West Bengal
10,125497,01-01-2020,lumpsum,84610.84,pending,Maharashtra
11,120841,01-01-2020,redemption,49582.71,PENDING,Delhi
12,120503,01-01-2020,Redemption,50086.01,pending,Karnataka
13,120841,01-01-2020,redemption,97670.44,PENDING,West Bengal
14,125497,01-01-2020,Redemption,94738.09,PENDING,Karnataka
15,119551,01-01-2020,Lumpsum,36174.0,pending,Karnataka
16,119551,01-01-2020,SIP,14487.62,PENDING,West Bengal
17,120841,01-01-2020,redemption,32903.84,pending,West Bengal
18,120841,01-01-2020,sip,3533.08,VERIFIED,Maharashtra
19,118632,01-01-2020,sip,2566.4,VERIFIED,Delhi
20,125497,01-01-2020,Lumpsum,39854.45,verified,Karnataka
21,118632,01-01-2020,Lumpsum,94131.47,VERIFIED,Delhi
22,120503,01-01-2020,sip,87200.06,PENDING,Delhi
23,119551,01-01-2020,redemption,51388.56,verified,Tamil Nadu
24,119092,01-01-2020,sip,56740.02,verified,Maharashtra
25,119092,02-01-2020,SIP,1090.38,pending,Karnataka
26,125497,02-01-2020,Redemption,21942.37,verified,West Bengal
27,125497,02-01-2020,SIP,2965.03,pending,West Bengal
28,119092,02-01-2020,sip,75576.68,verified,Delhi
29,125497,02-01-2020,Redemption,14991.76,VERIFIED,Maharashtra
30,119551,02-01-2020,sip,86970.19,pending,Maharashtra
31,120503,02-01-2020,SIP,64510.77,PENDING,Karnataka
32,120503,02-01-2020,SIP,23327.16,verified,Karnataka
33,118632,02-01-2020,redemption,16193.17,VERIFIED,Delhi
34,119551,02-01-2020,redemption,62948.66,VERIFIED,Delhi
35,125497,02-01-2020,SIP,90133.28,pending,Delhi
36,125497,02-01-2020,Redemption,71976.84,pending,Tamil Nadu
37,118632,02-01-2020,redemption,35180.39,pending,Maharashtra
38,118632,02-01-2020,redemption,58944.67,PENDING,Delhi
39,125497,02-01-2020,lumpsum,31420.79,PENDING,Maharashtra
40,125497,02-01-2020,lumpsum,99915.38,PENDING,West Bengal
41,119551,02-01-2020,redemption,75009.5,verified,West Bengal
42,118632,02-01-2020,sip,61630.97,PENDING,Maharashtra
43,119551,02-01-2020,Redemption,42614.28,pending,West Bengal
44,120841,02-01-2020,Lumpsum,62006.15,VERIFIED,West Bengal
45,125497,02-01-2020,redemption,34490.8,VERIFIED,West Bengal
46,119092,02-01-2020,lumpsum,3372.05,pending,Karnataka
47,119092,02-01-2020,Redemption,39811.31,PENDING,Karnataka
48,120841,02-01-2020,Redemption,93082.84,PENDING,Maharashtra
49,125497,03-01-2020,lumpsum,62816.96,pending,Maharashtra
50,118632,03-01-2020,Redemption,8853.59,VERIFIED,Tamil Nadu
51,119092,03-01-2020,Redemption,88556.86,verified,Karnataka
52,118632,03-01-2020,lumpsum,27253.05,VERIFIED,Maharashtra
53,119092,03-01-2020,SIP,24755.06,PENDING,Karnataka
54,118632,03-01-2020,redemption,30060.55,VERIFIED,Tamil Nadu
55,119092,03-01-2020,sip,57931.62,PENDING,Maharashtra
56,118632,03-01-2020,Lumpsum,54696.47,VERIFIED,Maharashtra
57,120841,03-01-2020,sip,49395.67,pending,Maharashtra
58,119551,03-01-2020,SIP,71894.92,PENDING,Maharashtra
59,118632,03-01-2020,SIP,31995.5,verified,Delhi
60,119551,03-01-2020,Redemption,78315.42,verified,Karnataka
61,119551,03-01-2020,sip,17944.51,pending,Karnataka
62,125497,03-01-2020,SIP,78370.77,VERIFIED,Karnataka
63,120841,03-01-2020,sip,66549.11,pending,Tamil Nadu
64,119551,03-01-2020,SIP,68479.23,pending,Delhi
65,120503,03-01-2020,Lumpsum,48414.56,verified,Karnataka
66,119551,03-01-2020,SIP,66866.65,verified,Karnataka
67,118632,03-01-2020,sip,8439.81,PENDING,Maharashtra
68,119551,03-01-2020,Redemption,85229.34,PENDING,Maharashtra
69,118632,03-01-2020,sip,6026.95,PENDING,Maharashtra
70,118632,03-01-2020,lumpsum,15299.78,pending,Karnataka
71,120503,03-01-2020,sip,57890.58,pending,Maharashtra
72,119551,03-01-2020,Lumpsum,74071.44,PENDING,Karnataka
73,119551,04-01-2020,redemption,8087.03,verified,Tamil Nadu
74,119092,04-01-2020,Lumpsum,92116.1,verified,Tamil Nadu
75,119092,04-01-2020,Lumpsum,97373.96,VERIFIED,West Bengal
76,125497,04-01-2020,SIP,60792.04,PENDING,Delhi
77,118632,04-01-2020,Lumpsum,48383.72,pending,Maharashtra
78,120503,04-01-2020,sip,74268.8,VERIFIED,Maharashtra
79,119092,04-01-2020,redemption,33171.56,VERIFIED,Delhi
80,119551,04-01-2020,Redemption,49579.81,VERIFIED,Delhi
81,125497,04-01-2020,Lumpsum,91657.03,PENDING,West Bengal
82,120503,04-01-2020,sip,95587.71,PENDING,Delhi
83,120841,04-01-2020,SIP,92743.38,PENDING,Karnataka
84,119551,04-01-2020,SIP,26613.58,verified,Maharashtra
85,119551,04-01-2020,Redemption,23630.67,VERIFIED,Delhi
86,120841,04-01-2020,Redemption,30117.62,verified,Karnataka
87,118632,04-01-2020,sip,44410.46,PENDING,Delhi
88,118632,04-01-2020,Redemption,31759.66,verified,Karnataka
89,119092,04-01-2020,Redemption,37734.17,verified,Tamil Nadu
90,119092,04-01-2020,SIP,62253.38,pending,Karnataka
91,119551,04-01-2020,sip,76371.3,PENDING,West Bengal
92,119551,04-01-2020,redemption,73688.04,VERIFIED,Karnataka
93,119092,04-01-2020,Redemption,81535.14,PENDING,Delhi
94,120841,04-01-2020,sip,3702.35,verified,Tamil Nadu
95,119092,04-01-2020,Lumpsum,5249.51,PENDING,Tamil Nadu
96,119551,04-01-2020,SIP,79043.6,PENDING,Karnataka
97,120503,05-01-2020,redemption,53541.34,pending,Delhi
98,119551,05-01-2020,SIP,58025.0,pending,Tamil Nadu
99,120503,05-01-2020,SIP,5732.39,PENDING,Karnataka
100,120503,05-01-2020,lumpsum,25903.72,pending,Karnataka
101,119551,05-01-2020,sip,64016.25,verified,Karnataka
102,125497,05-01-2020,Lumpsum,85988.6,verified,Tamil Nadu
103,119092,05-01-2020,Redemption,91739.85,verified,Maharashtra
104,118632,05-01-2020,Lumpsum,50291.74,pending,Delhi
105,119551,05-01-2020,sip,54774.69,PENDING,West Bengal
106,120503,05-01-2020,SIP,83388.44,verified,West Bengal
107,119551,05-01-2020,lumpsum,53993.65,VERIFIED,Delhi
108,119092,05-01-2020,sip,51927.42,verified,Maharashtra
109,120841,05-01-2020,redemption,90555.86,PENDING,Delhi
110,120503,05-01-2020,redemption,79098.31,verified,Karnataka
111,118632,05-01-2020,sip,90952.72,VERIFIED,Delhi
112,118632,05-01-2020,Redemption,22215.58,verified,Delhi
113,118632,05-01-2020,Lumpsum,52675.36,verified,Tamil Nadu
114,120841,05-01-2020,Lumpsum,84325.98,PENDING,West Bengal
115,125497,05-01-2020,Redemption,11559.21,verified,West Bengal
116,120503,05-01-2020,lumpsum,79568.88,verified,Karnataka
117,120841,05-01-2020,SIP,18705.85,pending,Karnataka
118,120503,05-01-2020,SIP,80907.82,PENDING,Tamil Nadu
119,120841,05-01-2020,redemption,61394.09,PENDING,Karnataka
120,120841,05-01-2020,lumpsum,19726.98,PENDING,Maharashtra
121,125497,06-01-2020,Redemption,47598.74,PENDING,Tamil Nadu
122,120503,06-01-2020,sip,68349.56,verified,Tamil Nadu
123,120841,06-01-2020,Lumpsum,63568.36,VERIFIED,Delhi
124,125497,06-01-2020,sip,43011.1,VERIFIED,Delhi
125,119551,06-01-2020,Lumpsum,89986.97,pending,Maharashtra
126,119092,06-01-2020,sip,52166.71,verified,Tamil Nadu
127,120841,06-01-2020,Redemption,50833.8,PENDING,Tamil Nadu
128,118632,06-01-2020,Redemption,6693.93,PENDING,Delhi
129,125497,06-01-2020,lumpsum,92250.98,VERIFIED,West Bengal
130,125497,06-01-2020,sip,18123.1,pending,West Bengal
131,120841,06-01-2020,sip,53070.3,verified,Delhi
132,125497,06-01-2020,lumpsum,80454.98,pending,Karnataka
133,119551,06-01-2020,lumpsum,21937.6,verified,Tamil Nadu
134,125497,06-01-2020,Redemption,52973.64,pending,Maharashtra
135,119092,06-01-2020,Redemption,24448.15,pending,West Bengal
136,119092,06-01-2020,redemption,76089.65,PENDING,Karnataka
137,118632,06-01-2020,sip,56651.95,VERIFIED,Tamil Nadu
138,119551,06-01-2020,Redemption,85669.6,PENDING,Karnataka
139,119092,06-01-2020,Redemption,89508.52,VERIFIED,Tamil Nadu
140,120841,06-01-2020,sip,65048.98,pending,Tamil Nadu
141,120503,06-01-2020,lumpsum,72676.43,verified,Delhi
142,120503,06-01-2020,sip,55147.4,PENDING,Delhi
143,120503,06-01-2020,SIP,38750.66,verified,Maharashtra
144,120841,06-01-2020,sip,64987.73,PENDING,Maharashtra
145,125497,07-01-2020,SIP,90874.72,PENDING,Karnataka
146,120841,07-01-2020,sip,41959.7,PENDING,Delhi
147,125497,07-01-2020,SIP,31783.8,verified,Tamil Nadu
148,120503,07-01-2020,SIP,39149.48,PENDING,Delhi
149,118632,07-01-2020,sip,43822.06,PENDING,Tamil Nadu
150,118632,07-01-2020,redemption,7819.32,PENDING,Delhi
151,125497,07-01-2020,Redemption,50094.96,verified,Tamil Nadu
152,120503,07-01-2020,Lumpsum,49684.27,PENDING,Karnataka
153,120841,07-01-2020,Redemption,59050.16,verified,Delhi
154,118632,07-01-2020,SIP,36600.59,VERIFIED,West Bengal
155,125497,07-01-2020,sip,61504.21,PENDING,West Bengal
