amfi_code,date,nav
125497,01-01-2020,100.5267
125497,02-01-2020,100.4179
125497,03-01-2020,101.0984
125497,06-01-2020,102.6685
125497,07-01-2020,102.4589
125497,08-01-2020,102.2497
125497,09-01-2020,103.8951
125497,10-01-2020,104.7236
125497,13-01-2020,104.2634
125497,14-01-2020,104.8604
125497,15-01-2020,104.4059
125497,16-01-2020,103.951
125497,17-01-2020,104.2337
125497,20-01-2020,102.2707
125497,21-01-2020,100.5373
125497,22-01-2020,100.0021
125497,23-01-2020,99.0193
125497,24-01-2020,99.3601
125497,27-01-2020,98.4877
125497,28-01-2020,97.1263
125497,29-01-2020,98.579
125497,30-01-2020,98.386
125497,31-01-2020,98.482
125497,03-02-2020,97.1084
125497,04-02-2020,96.6089
125497,05-02-2020,96.745
125497,06-02-2020,95.6605
125497,07-02-2020,96.0486
125497,10-02-2020,95.5005
125497,11-02-2020,95.2506
125497,12-02-2020,94.706
125497,13-02-2020,96.4887
125497,14-02-2020,96.5046
125497,17-02-2020,95.5128
125497,18-02-2020,96.3271
125497,19-02-2020,95.18
125497,20-02-2020,95.4073
125497,21-02-2020,93.5663
125497,24-02-2020,92.3516
125497,25-02-2020,92.5611
125497,26-02-2020,93.2724
125497,27-02-2020,93.4603
125497,28-02-2020,93.3802
125497,02-03-2020,93.1271
125497,03-03-2020,91.7781
125497,04-03-2020,91.145
125497,05-03-2020,90.7525
125497,06-03-2020,91.739
125497,09-03-2020,92.0818
125497,10-03-2020,90.486
125497,11-03-2020,90.8064
125497,12-03-2020,90.4839
125497,13-03-2020,89.8986
125497,16-03-2020,90.4754
125497,17-03-2020,91.4354
125497,18-03-2020,92.3143
125497,19-03-2020,91.5673
125497,20-03-2020,91.3116
125497,23-03-2020,91.6415
125497,24-03-2020,92.563
125497,25-03-2020,92.1473
125497,26-03-2020,92.0038
125497,27-03-2020,91.0135
125497,30-03-2020,89.9521
125497,31-03-2020,90.71
125497,01-04-2020,91.9675
125497,02-04-2020,91.9288
125497,03-04-2020,92.8789
125497,06-04-2020,93.2427
125497,07-04-2020,92.6691
125497,08-04-2020,93.0318
125497,09-04-2020,94.4906
125497,10-04-2020,94.4851
125497,13-04-2020,95.9918
125497,14-04-2020,93.5059
125497,15-04-2020,94.3024
125497,16-04-2020,94.4128
125497,17-04-2020,94.1589
125497,20-04-2020,94.2735
125497,21-04-2020,92.428
125497,22-04-2020,92.2527
125497,23-04-2020,92.6098
125497,24-04-2020,94.0063
125497,27-04-2020,93.5473
125497,28-04-2020,92.819
125497,29-04-2020,92.3812
125497,30-04-2020,93.2545
125497,01-05-2020,93.5891
125497,04-05-2020,93.1214
